Date,Close,High,Low,Open,Volume
2009-01-16,"2,000.00","2,030.00","1,865.00","1,900.00","118,172"
2009-01-15,"1,865.00","2,130.00","1,865.00","2,060.00","128,676"
2009-01-14,"2,150.00","2,180.00","1,990.00","2,025.00","89,392"
2009-01-13,"2,025.00","2,025.00","1,865.00","1,930.00","90,392"
2009-01-12,"1,890.00","2,025.00","1,890.00","2,025.00","45,078"
2009-01-09,"2,025.00","2,090.00","1,965.00","2,090.00","26,769"
2009-01-08,"2,040.00","2,140.00","1,950.00","1,965.00","70,675"
2009-01-07,"2,060.00","2,180.00","1,935.00","2,110.00","107,015"
2009-01-06,"1,980.00","1,990.00","1,775.00","1,790.00","183,490"
2009-01-05,"1,770.00","1,775.00","1,650.00","1,650.00","105,229"
2009-01-02,"1,635.00","1,715.00","1,635.00","1,685.00","66,686"
2008-12-30,"1,665.00","1,715.00","1,625.00","1,655.00","98,003"
2008-12-29,"1,650.00","1,805.00","1,625.00","1,805.00","180,560"
2008-12-26,"1,815.00","1,965.00","1,780.00","1,865.00","271,543"
2008-12-24,"1,830.00","2,000.00","1,680.00","1,740.00","482,535"
2008-12-23,"1,740.00","1,810.00","1,680.00","1,740.00","167,810"
2008-12-22,"1,710.00","1,785.00","1,560.00","1,625.00","242,294"
2008-12-19,"1,565.00","1,680.00","1,490.00","1,550.00","439,210"
2008-12-18,"1,615.00","1,680.00","1,570.00","1,600.00","166,147"
2008-12-17,"1,600.00","1,650.00","1,560.00","1,625.00","45,222"
2008-12-16,"1,570.00","1,575.00","1,520.00","1,570.00","17,906"
2008-12-15,"1,570.00","1,630.00","1,505.00","1,505.00","44,939"
2008-12-12,"1,535.00","1,550.00","1,490.00","1,550.00","22,751"
2008-12-11,"1,550.00","1,575.00","1,500.00","1,535.00","27,780"
2008-12-10,"1,530.00","1,675.00","1,490.00","1,530.00","44,670"
